context_id,scenario,policy_seed,slot,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,repeat_count,actual_extra_transitions,direct_cost_mean,direct_cost_standard_error,direct_cost_lower,direct_cost_upper,current_other_delta_mean,current_other_delta_standard_error,current_other_delta_lower,current_other_delta_upper,sub_cost_probe_mean,sub_cost_probe_standard_error,sub_cost_probe_lower,sub_cost_probe_upper,sub_cost_other_mean,sub_cost_other_standard_error,sub_cost_other_lower,sub_cost_other_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,sub_shot_probe_mean,sub_shot_probe_standard_error,sub_shot_probe_lower,sub_shot_probe_upper,sub_shot_other_mean,sub_shot_other_standard_error,sub_shot_other_lower,sub_shot_other_upper,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,episode_cost_delta_mean,episode_cost_delta_standard_error,episode_cost_delta_lower,episode_cost_delta_upper,rho_sub_mean,rho_sub_standard_error,rho_sub_lower,rho_sub_upper,rho_sub_median,rho_sub_q25,rho_sub_q75,cost_sign_masked_rate,first_substitution_step_mean
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,1784393360,28,250715da39f156e38e828aa1fbcb52811ae88a7f2aceac89e4f8d013ce197e08,2,laser,0.5,32,1863,0.5000000149011612,0.0,0.5000000149011612,0.5000000149011612,0.0,0.0,0.0,0.0,0.13105827383697033,0.03857600336656638,0.05544930723850022,0.20666724043544044,0.2730899415910244,0.14111402918049393,-0.00349355560274367,0.5496734387847925,0.40414821542799473,0.17019777504418304,0.07056057634139595,0.7377358545145936,0.26211654767394066,0.07715200673313276,0.11089861447700045,0.41333448087088087,0.1365449707955122,0.07055701459024696,-0.001746777801371835,0.27483671939239623,0.39866151846945286,0.13600268311153788,0.13209625957083865,0.6652267773680671,0.09585179947316647,0.17019777504418304,-0.2377358396134323,0.42943943855976524,0.8082964308559895,0.3403955500883661,0.1411211526827919,1.4754717090291871,0.0,0.0,0.3402878940105438,0.4375,
confirm_medium_seed17_safety01_e08_t28_u0,medium,17,safety,1784393360,28,250715da39f156e38e828aa1fbcb52811ae88a7f2aceac89e4f8d013ce197e08,0,missile,2.0,32,2445,2.0000000298023224,0.0,2.0000000298023224,2.0000000298023224,0.0,0.0,0.0,0.0,1.8436491256579757,0.1717952344741925,1.5069304660885583,2.180367785227393,0.22776612942107022,0.13414164383808166,-0.03515149250156985,0.4906837513437103,2.071415255079046,0.27694068940054517,1.5286115038539774,2.6142190063041144,0.9218245628289878,0.08589761723709625,0.7534652330442791,1.0901838926136964,0.26731735095381737,0.2040913161468533,-0.13270162869401508,0.6673363306016498,1.1891419137828052,0.2604210214779413,0.6787167116860403,1.69956711587957,-0.0714152252767235,0.27694068940054517,-0.614218976501792,0.471388525948345,1.035707627539523,0.13847034470027259,0.7643057519269887,1.3071095031520572,1.0000000149011612,0.7962850220501423,1.127310037612915,0.84375,3.296508458371346
confirm_medium_seed17_safety02_e08_t28_u1,medium,17,safety,1784393360,28,250715da39f156e38e828aa1fbcb52811ae88a7f2aceac89e4f8d013ce197e08,1,missile,2.0,32,1822,1.9999999105930328,0.0,1.9999999105930328,1.9999999105930328,0.0,0.0,0.0,0.0,1.12449907977134,0.2256247400235462,0.6822745893251894,1.5667235702174904,0.1054281045217067,0.2185369576137823,-0.3229043324013066,0.53376054144472,1.2299271842930466,0.37934928881129776,0.486402578222903,1.9734517903631903,0.56224953988567,0.1128123700117731,0.3411372946625947,0.7833617851087452,0.0939087332226336,0.25925742868603147,-0.414235827001988,0.6020532934472552,0.6561582731083035,0.3215022404539211,0.02601388181861819,1.286302664397989,0.7700727262999862,0.37934928881129776,0.026548120229842653,1.51359733237013,0.6149635921465233,0.18967464440564888,0.2432012891114515,0.9867258951815951,0.6562973074615002,0.04656405933201313,0.9999999552965164,0.59375,1.3675948188585394
confirm_medium_seed17_safety03_e05_t42_u2,medium,17,safety,1784393357,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,2,laser,0.5,32,691,0.5000000149011612,0.0,0.5000000149011612,0.5000000149011612,0.0,0.0,0.0,0.0,0.06634877482429147,0.020650830138394576,0.025873147753038103,0.10682440189554483,0.2255773600190878,0.08633617320955242,0.056358460528365045,0.39479625950981057,0.29192613484337926,0.09632776659776407,0.10312371231176168,0.48072855737499687,0.13269754964858294,0.04130166027678915,0.051746295506076206,0.21364880379108966,0.1127886800095439,0.04316808660477621,0.028179230264182523,0.19739812975490528,0.24548622965812683,0.0704837418882923,0.10733809555707391,0.38363436375917975,0.20807388005778193,0.09632776659776407,0.019271457526164354,0.39687630258939954,0.5838522696867585,0.19265553319552814,0.20624742462352336,0.9614571147499937,0.0,0.0,0.40914371609687805,0.4375,
confirm_medium_seed17_safety04_e05_t42_u0,medium,17,safety,1784393357,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,0,missile,2.0,32,596,1.9999999403953552,0.0,1.9999999403953552,1.9999999403953552,0.0,0.0,0.0,0.0,0.7916792947798967,0.22256412650328555,0.35545360683345706,1.2279049827263364,0.29625631403177977,0.18749215122680982,-0.07122830237276745,0.663740930436327,1.0879356088116765,0.34949171106240545,0.4029318551293618,1.7729393624939913,0.39583964738994837,0.11128206325164278,0.17772680341672853,0.6139524913631682,0.09301969595253468,0.1935066342531211,-0.28625330718358266,0.472292699088652,0.48885934334248304,0.2641907264609102,-0.028954480520900883,1.006673167205867,0.9120643315836787,0.34949171106240545,0.22706057790136402,1.5970680852659935,0.5439678044058383,0.17474585553120273,0.2014659275646809,0.8864696812469957,0.3269558548927307,0.0,1.0870064869523048,0.5625,1.4429139072696369
confirm_medium_seed17_safety05_e05_t42_u1,medium,17,safety,1784393357,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,1,missile,2.0,32,710,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0200060568749905,0.21607892780746668,0.5964913583723558,1.4435207553776253,0.060113346204161644,0.29442630214681814,-0.5169622060036019,0.6371888984119252,1.080119403079152,0.335587163638601,0.4223685623474941,1.7378702438108102,0.5100030284374952,0.10803946390373334,0.2982456791861779,0.7217603776888126,0.12257425673305988,0.21994780739125003,-0.30852344575379015,0.55367195921991,0.6325772851705551,0.23379165741146343,0.1743456366440868,1.0908089336970235,0.9198805969208479,0.335587163638601,0.2621297561891899,1.577631437652506,0.540059701539576,0.1677935818193005,0.21118428117374705,0.8689351219054051,0.33190247416496277,0.0,1.2790374606847763,0.59375,1.471924180785815
confirm_medium_seed17_resource00_e22_t49_u0,medium,17,resource,1784393374,49,0def7a9aca7e3e2e106f64967b53a522755a96d10e3a6cfa326390a888b869d8,0,missile,2.0,32,64,2.0,0.0,2.0,2.0,-0.953125,0.16854359389889262,-1.2834704440418294,-0.6227795559581705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046875,0.16854359389889262,0.7165295559581705,1.3772204440418294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,
confirm_medium_seed17_resource01_e22_t48_u0,medium,17,resource,1784393374,48,8cb66dc158faa1dbdc3c3552c7cb9f16ddb470cb0a56c47d3158f4bb48bf29fa,0,missile,2.0,32,100,2.0,0.0,2.0,2.0,-0.78125,0.1521643251713052,-1.0794920773357581,-0.4830079226642418,0.6875,0.17061026611322602,0.353103878418077,1.0218961215819231,0.0625,0.11611573064501556,-0.16508683206423047,0.29008683206423047,0.75,0.16032980122637938,0.4357535895962964,1.0642464104037037,0.34375,0.08530513305661301,0.1765519392090385,0.5109480607909616,0.03125,0.09508458670590234,-0.15511578994356856,0.21761578994356856,0.375,0.08695104295503155,0.20457595580813817,0.5454240441918619,0.46875,0.17525542994671078,0.12524935730444686,0.8122506426955531,0.375,0.08016490061318969,0.2178767947981482,0.5321232052018519,0.0,0.0,1.0,0.625,1.0
confirm_medium_seed17_resource02_e22_t47_u0,medium,17,resource,1784393374,47,d3e6eae2a0a29d76e0e29beacc535e131f169cb2c7694c24dd2014dc1c150ef6,0,missile,2.0,32,117,2.0,0.0,2.0,2.0,-1.21875,0.16179671011249208,-1.5358715518204844,-0.9016284481795156,1.0,0.17960530202677488,0.6479736080275212,1.3520263919724789,-0.078125,0.17114029185427884,-0.41355997203438655,0.25730997203438655,0.921875,0.26192272834750324,0.4085064524388936,1.4352435475611065,0.5,0.08980265101338744,0.3239868040137606,0.6760131959862394,0.03125,0.09508458670590234,-0.15511578994356856,0.21761578994356856,0.53125,0.1345869951897045,0.2674594894281792,0.7950405105718208,-0.140625,0.23356715614882928,-0.5984166260517054,0.31716662605170537,0.4609375,0.13096136417375162,0.2042532262194468,0.7176217737805533,0.0,0.0,1.0,0.78125,1.2857142857142858
confirm_medium_seed17_resource03_e22_t49_u2,medium,17,resource,1784393374,49,0def7a9aca7e3e2e106f64967b53a522755a96d10e3a6cfa326390a888b869d8,2,laser,0.5,32,64,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
