control_type,control_name,outcome,metric,control_value,details,replicates,observed_increment,permuted_mean,permuted_median,permuted_p95,maxT_fwer_p
rank_correlation,noop_pair_indicator,,spearman_rho_with_ds,-0.3913347168362098,Descriptive only.,,,,,,
rank_correlation,legal_action_count,,spearman_rho_with_ds,-0.013103262279813944,Descriptive only.,,,,,,
rank_correlation,one_minus_completion_count_ratio,,spearman_rho_with_ds,0.2420607457117089,Descriptive only.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,high_threat_legal_but_unassigned_changed,auroc,0.0009685481408322483,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,high_threat_legal_but_unassigned_changed,balanced_accuracy,-0.0019018848243961273,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,high_threat_legal_but_unassigned_changed,log_loss,0.0011903076510546562,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,prefix_denied_changed,auroc,0.008670674982944604,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,prefix_denied_changed,balanced_accuracy,0.012043701508581917,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,prefix_denied_changed,log_loss,0.007146301271268141,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,engagement_extreme_direction_nonzero,auroc,0.003870516943035529,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,engagement_extreme_direction_nonzero,balanced_accuracy,0.012612039520434881,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
unweighted_flip_increment,M0_plus_downstream_argmax_changed,engagement_extreme_direction_nonzero,log_loss,0.040397512193786095,Ordinary deterministic downstream flip control; positive means improvement over M0.,,,,,,
subset_increment,unit_position_0,high_threat_legal_but_unassigned_changed,auroc,0.029214323291828825,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,high_threat_legal_but_unassigned_changed,balanced_accuracy,0.0010704639706998753,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,high_threat_legal_but_unassigned_changed,log_loss,0.03876615091613489,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,prefix_denied_changed,auroc,0.03311388661621295,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,prefix_denied_changed,balanced_accuracy,0.017176764522174093,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,prefix_denied_changed,log_loss,0.04263133137200936,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,engagement_extreme_direction_nonzero,auroc,0.0003752421547432716,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,engagement_extreme_direction_nonzero,balanced_accuracy,0.00023519240139913133,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_0,engagement_extreme_direction_nonzero,log_loss,-0.01573066645911278,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,high_threat_legal_but_unassigned_changed,auroc,0.09990297546690152,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,high_threat_legal_but_unassigned_changed,balanced_accuracy,0.12042816687689417,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,high_threat_legal_but_unassigned_changed,log_loss,0.1790156226667216,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,prefix_denied_changed,auroc,0.21040617871263312,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,prefix_denied_changed,balanced_accuracy,0.1032913165383762,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,prefix_denied_changed,log_loss,0.20434827324630184,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,engagement_extreme_direction_nonzero,auroc,0.0041721030125631,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,engagement_extreme_direction_nonzero,balanced_accuracy,0.0,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,unit_position_1,engagement_extreme_direction_nonzero,log_loss,0.006510732692738247,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,high_threat_legal_but_unassigned_changed,auroc,0.07337776166561616,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,high_threat_legal_but_unassigned_changed,balanced_accuracy,0.03859300944911592,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,high_threat_legal_but_unassigned_changed,log_loss,0.09064900417993493,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,prefix_denied_changed,auroc,-0.001831842920943183,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,prefix_denied_changed,balanced_accuracy,-0.0023406355506840892,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,prefix_denied_changed,log_loss,-0.0004441062285226449,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,engagement_extreme_direction_nonzero,auroc,0.02438949265483381,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,engagement_extreme_direction_nonzero,balanced_accuracy,0.0022909364046072023,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,engage_engage_pairs,engagement_extreme_direction_nonzero,log_loss,0.05943200757988881,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,high_threat_legal_but_unassigned_changed,auroc,0.058464800525553695,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
