group_id,mean_cost_delta,mean_harm_delta,mean_total_return_delta,rollouts,scenario,source_seed,split,state_id,unit_index
task14u/seed8/medium/episode7/step3/unit1,0.1898353099822998,13.958027839660645,-16.293428421020508,4,medium,8,validation,task14u/seed8/medium/episode7/step3,1
task14u/seed8/medium/episode7/step3/unit2,0.3305807113647461,-2.792902946472168,-3.049700975418091,4,medium,8,validation,task14u/seed8/medium/episode7/step3,2
task14u/seed8/medium/episode3/step17/unit0,0.07900398969650269,0.0,-0.07900339365005493,4,medium,8,test,task14u/seed8/medium/episode3/step17,0
task14u/seed8/medium/episode0/step8/unit1,0.1349085569381714,2.7755184173583984,-3.0623161792755127,4,medium,8,train,task14u/seed8/medium/episode0/step8,1
task14u/seed8/medium/episode0/step8/unit2,0.09482407569885254,-2.7755188941955566,1.9301371574401855,4,medium,8,train,task14u/seed8/medium/episode0/step8,2
task14u/seed8/time_pressure/episode5/step28/unit2,0.06858867406845093,0.0,0.7441275119781494,4,time_pressure,8,train,task14u/seed8/time_pressure/episode5/step28,2
task14u/seed8/time_pressure/episode2/step18/unit0,0.8231427669525146,7.175497531890869,-14.791672706604004,4,time_pressure,8,validation,task14u/seed8/time_pressure/episode2/step18,0
task14u/seed8/time_pressure/episode2/step18/unit2,0.28062117099761963,7.814497470855713,-5.221343040466309,4,time_pressure,8,validation,task14u/seed8/time_pressure/episode2/step18,2
task14u/seed8/time_pressure/episode5/step38/unit2,0.38235098123550415,0.0,-0.3823509216308594,4,time_pressure,8,test,task14u/seed8/time_pressure/episode5/step38,2
task14u/seed8/heterogeneity_pressure/episode4/step10/unit1,0.00408625602722168,5.6564483642578125,-3.771854877471924,4,heterogeneity_pressure,8,validation,task14u/seed8/heterogeneity_pressure/episode4/step10,1
task14u/seed8/heterogeneity_pressure/episode1/step21/unit1,0.10811787843704224,0.0,-0.10811793804168701,4,heterogeneity_pressure,8,train,task14u/seed8/heterogeneity_pressure/episode1/step21,1
task14u/seed8/heterogeneity_pressure/episode0/step24/unit2,0.10476699471473694,0.0,0.08771753311157227,4,heterogeneity_pressure,8,test,task14u/seed8/heterogeneity_pressure/episode0/step24,2
task14u/seed10/medium/episode7/step14/unit2,0.017301000654697418,0.0,-0.017297744750976562,4,medium,10,test,task14u/seed10/medium/episode7/step14,2
task14u/seed10/medium/episode4/step23/unit2,0.2976388931274414,-4.932986259460449,3.9379656314849854,4,medium,10,train,task14u/seed10/medium/episode4/step23,2
task14u/seed10/medium/episode6/step25/unit2,0.04089021682739258,12.22040843963623,-2.1377382278442383,4,medium,10,validation,task14u/seed10/medium/episode6/step25,2
task14u/seed10/time_pressure/episode4/step1/unit0,0.24323511123657227,8.56975269317627,-5.128895282745361,4,time_pressure,10,test,task14u/seed10/time_pressure/episode4/step1,0
task14u/seed10/time_pressure/episode4/step1/unit2,-0.06992006301879883,-12.562838554382324,21.213726043701172,4,time_pressure,10,test,task14u/seed10/time_pressure/episode4/step1,2
task14u/seed10/time_pressure/episode4/step2/unit0,0.02407526969909668,2.1276304721832275,-3.6930418014526367,4,time_pressure,10,validation,task14u/seed10/time_pressure/episode4/step2,0
task14u/seed10/time_pressure/episode4/step2/unit1,0.3125174045562744,2.2240872383117676,4.112596035003662,4,time_pressure,10,validation,task14u/seed10/time_pressure/episode4/step2,1
task14u/seed10/time_pressure/episode0/step20/unit2,0.16554933786392212,0.0,-0.0400395393371582,4,time_pressure,10,train,task14u/seed10/time_pressure/episode0/step20,2
task14u/seed10/heterogeneity_pressure/episode3/step0/unit0,0.35296177864074707,0.0,-0.19075918197631836,4,heterogeneity_pressure,10,train,task14u/seed10/heterogeneity_pressure/episode3/step0,0
task14u/seed10/heterogeneity_pressure/episode0/step24/unit2,0.07266059517860413,-9.831241607666016,5.403737545013428,4,heterogeneity_pressure,10,test,task14u/seed10/heterogeneity_pressure/episode0/step24,2
task14u/seed10/heterogeneity_pressure/episode2/step12/unit2,0.054489701986312866,-11.764106750488281,8.568312644958496,4,heterogeneity_pressure,10,validation,task14u/seed10/heterogeneity_pressure/episode2/step12,2
